순번,업소명,연락처,팩스,주소,영업시간,휴무일,기본정보,장애인 편의 시설,주출입구,장애인전용주차구역,출입문 문 폭,복도/통로,장애인용 엘리베이터,장애인용 화장실,음식점 좌석/테이블,장애인용 관람석,접수대 작업대,샤워실 탈의실,테이블/진열대 등 통로 폭,장애인용 객실,여객시설,비치용품,이용가능댓수,턱 치수 *삭제된 항목,단차 cm,메뉴명,경도,위도,다음 경도,다음 위도,소분류,접근여부,엘리베이터 여부,화장실 여부,경사로 여부,,,,2
473,럭키할인마트 석관점,02-959-7678,,서울시 성북구 석관동338-154,㏂08:00~㏘24:00,매주 일요일,안에들어가면 이동불편,주출입구단차없음,경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),이동불편,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.05606,37.60961,204949.8755,456671.0037,슈퍼마켓 등 판매점,1,2,2,2,,,,2
474,안경사랑 석관점,02-969-6011,,서울시 성북구 석관동306-7,㏂10:00~㏘21:00,매주 일요일,안경 전문점,주출입구단차없음지하철접근가능지상버스접근가능,,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.06058,37.6076,205349.1175,456448.1635,슈퍼마켓 등 판매점,2,2,2,4,,,,2
475,하나할인마트,02-835-9388,,서울시 영등포구 시흥대로 623,㏂09:00~㏘21:00,명절,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동불편,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,126.90529,37.48816,191623.903,443194.2516,슈퍼마켓 등 판매점,1,2,2,1,,,,2
476,파리바게뜨 신길돈보스코점,02-831-0805,,서울시 영등포구 여의대방로7길 5,㏂07:00~㏘23:20,연중무휴,,주출입구단차없음,경사로 이용가능(기울기 5도 이하),주차장없음,,이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,생활,126.91278,37.49704,192287.2276,444179.1755,슈퍼마켓 등 판매점,1,2,2,2,,,,2
477,바인세계주류,02-844-0848,,서울시 영등포구 시흥대로 645,㏂09:30~㏘22:30,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동불편,,,,,,,이용가능(80cm 이상),,,,,,,생활,126.90666,37.48978,191745.2433,443373.9293,슈퍼마켓 등 판매점,1,2,2,1,,,,2
478,드림디포 문래점,02-2633-7770,,서울시 영등포구 선유로 70,㏂08:30~㏘20:30,매주 일요일,장애인화장실 있으나 이용불가. 측정불가.,장애인용엘리베이터장애인용주차장주출입구단차없음,경사로 이용가능(기울기 5도 이하),이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동불편,휠체어 사용자용 조작반 설치음성신호장치 설치,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,5,,,생활,126.89015,37.52016,190289.0755,446747.2957,슈퍼마켓 등 판매점,1,1,2,2,,,,2
479,Tworld 대림사거리점,02-846-8811,,서울시 영등포구 시흥대로 621,㏂10:00~㏘21:00,연중무휴,,주출입구단차없음,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 미만),이동불편,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,생활,126.90512,37.48791,191608.8404,443166.5201,슈퍼마켓 등 판매점,1,2,2,2,,,,2
480,경남세탁소,02-834-8682,,서울시 영등포구 영등포로 353,㏂08:00~㏘21:30,공휴일,주차장 이용은 아파트 거주민 우선.,주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동불편,,,,,,,이용가능(80cm 미만),,,,,,,생활,126.91808,37.51507,192757.643,446179.8533,슈퍼마켓 등 판매점,1,2,2,1,,,,2
481,Tworld 크린텔구로디지털단지직영점,02-845-4011,,서울시 영등포구 시흥대로 591,㏂10:00~㏘21:00,연중무휴,,주출입구단차없음지하철접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,생활,126.90325,37.48573,191443.2094,442924.7371,슈퍼마켓 등 판매점,1,2,2,2,,,,2
482,GS25 대림제일점,080-855-5525,,서울시 영등포구 시흥대로 591,24시간,연중무휴,,주출입구단차없음,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동불편,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,생활,126.90325,37.48573,191443.2094,442924.7371,슈퍼마켓 등 판매점,1,2,2,2,,,,2
483,D.C백화점,02-831-4944,,서울시 동작구 시흥대로 664,㏂10:00~㏘22:00,공휴일,,주출입구단차없음,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동불편,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 미만),,,,,,,생활,126.90843,37.49069,191901.876,443474.7737,슈퍼마켓 등 판매점,1,2,2,2,,,,2
484,홈플러스익스프레스 신정점,02-2696-8545,,서울시 양천구 신정3동 1183-12 1층,㏂08:00~㏘24:00,둘째 넷째주 일요일,,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.85299,37.51917,187003.8957,446641.9027,슈퍼마켓 등 판매점,2,2,2,3,,,,2
485,이마트에브리데이 CJ빅마트,02-2690-0770,,서울시 양천구 신정3동 1182-11 상운맘모스프라자  B1층,㏂09:00~㏘24:00,연중무휴,,일반엘리베이터일반주차장지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),일반 주차장만 있음,이용가능(80cm 이상),이동가능,일반 엘리베이터만 있음,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,126.85363,37.51773,187060.225,446481.9925,슈퍼마켓 등 판매점,2,2,2,3,,,,2
486,CU 남부순환로점,02-874-0577,,서울시 관악구 신림동 10-621 관동캐슬오피스텔 1층 101호,24시간,연중무휴,,장애인용엘리베이터일반주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,일반 주차장만 있음,이용가능(80cm 이상),,휠체어 사용자용 조작반 설치,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,126.93709,37.48409,194435.975,442740.1811,슈퍼마켓 등 판매점,1,1,2,1,,,,2
487,WB 웰빙마트,02-822-8676,,서울시 동작구 상도2동 367-13 1층,24시간,공휴일,,일반주차장지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),일반 주차장만 있음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.93764,37.50426,194486.1023,444978.7554,슈퍼마켓 등 판매점,2,2,2,3,,,,2
488,유마트석관점,02-963-5094,,서울시 성북구 돌곶이로 10,㏂10:00~㏘22:00,연중무휴,야채채소  육류생선  잡화,일반주차장주출입구단차없음지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),일반 주차장만 있음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.06242,37.60559,205511.7349,456225.1819,슈퍼마켓 등 판매점,1,2,2,2,,,,2
489,뚜레쥬르 월곡역점,02-941-0029,,서울시 성북구 하월곡동35-5,㏂07:30~㏘23:00,연중무휴,,주출입구단차없음지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.04164,37.60154,203677.0439,455774.6597,슈퍼마켓 등 판매점,1,2,2,2,,,,2
490,럭키후레쉬마트,02-925-9262,,서울시 성북구 동소문로 8길 15,㏂09:00~㏘23:00,연중무휴,#NAME?,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 미만),이동불편,,,,,,,,,,,,,,생활,127.01004,37.58929,200886.7332,454414.2786,슈퍼마켓 등 판매점,1,2,2,1,,,,2
491,쌤소나이트 성북점,02-741-7954,,서울시 성북구 동소문로 30,㏂10:00~㏘21:00,공휴일,- 4호선 한성대입구역 근처  - 주출입구 단차 없음,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.00941,37.58965,200831.0876,454454.2288,슈퍼마켓 등 판매점,1,2,2,1,,,,2
492,우리농산물할인마트,02-742-1664,,서울시 종로구 지봉로 5길 5,㏂08:00~㏘23:00,연중무휴,#NAME?,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동불편,,,,,,,,,,,,,,생활,127.0153,37.57419,201351.5696,452738.4137,슈퍼마켓 등 판매점,1,2,2,1,,,,2
493,GS25 창신점,02-763-9938,,서울시 종로구 지봉로 43,24시간,연중무휴,#NAME?,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동불편,,,,,,,,,,,,,,생활,127.01544,37.57406,201363.9393,452723.9873,슈퍼마켓 등 판매점,1,2,2,1,,,,2
494,정관장 동묘본점,02-762-2304,,서울시 종로구 종로 347 롯데캐슬천지인 1층 102호,㏂09:00~㏘21:00,공휴일,#NAME?,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.016,37.57406,201413.4086,452723.9955,슈퍼마켓 등 판매점,1,2,2,1,,,,2
495,사랑방서원,02-764-1968,,서울시 종로구 지봉로 29 금호팔레스빌딩 6층,㏂09:00~㏘20:00,일요일 공휴일,#NAME?,장애인용엘리베이터지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동불편,휠체어 사용자용 조작반 설치,,,,이용불편(높이 90cm 이하),,,,,,1,,,생활,127.01528,37.57252,201349.833,452553.0628,슈퍼마켓 등 판매점,1,1,2,2,,,,2
496,아디다스 돈암점,02-926-4999,,서울시 성북구 동소문로 115-1,㏂09:30~㏘22:00,,주차장과 화장실은 따로 없음.  추출입문에 단차가 없어서 휠체어로 들어가기가 쉽고 매장 내부가 넓어 휠체어 이용자가 이동하기 편리함.,주출입구단차없음지하철접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.0176,37.59355,201554.3442,454887.189,슈퍼마켓 등 판매점,1,2,2,1,,,,2
497,세븐일레븐 성북동일하이빌점,070-7750-3631,,서울시 성북구 동소문동5가 55-1 동일하이빌 상가1층,24시간,연중무휴,돈암동일하이빌 상가내1층에 위치해 있음.   진열대 사이의 폭이 좁은 곳이 있어 휠체어로 이동이 안되는 공간이 있음   화장실은 상가 내의 화장실을 이용하며 열쇠가 있어야함  화장실 주출입문에 턱이 있어 휠체,장애인용화장실장애인용엘리베이터장애인용주차장지하철접근가능,경사로 이용가능(기울기 5도 이하),장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,남녀별도커튼식 접이문대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 불편,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,층당1,,,생활,127.01457,37.59166,201286.7822,454677.3743,슈퍼마켓 등 판매점,1,1,1,2,,,,1
498,S-Market유타몰,02-921-3189,,서울시 성북구 동소문로 106 유타몰 지하2층,㏂10:00~㏘21:50,추석과 설날,성신여대역 유타몰 지하 2층에 있는 신발가게.  화장실 진입로에 박스들이 있어서 비좁았음.,장애인용엘리베이터장애인용주차장주출입구단차없음지하철접근가능,턱이나계단없음,장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,,,,이용불편(높이 90cm 이하),,,,,,층당3,,,생활,127.01709,37.59257,201509.3233,454778.4116,슈퍼마켓 등 판매점,1,1,2,1,,,,2
499,모닝글로리 대학로점,02-743-3803,,서울시 종로구 대학로 153,,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동불편,,,,,,,이용가능(80cm 미만),,,,,,,생활,127.00116,37.58479,200102.4574,453914.7828,슈퍼마켓 등 판매점,1,2,2,1,,,,2
500,스킨79 성신여대점,전화번호없음,,서울시 성북구 동소문로22길 45,,,,,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동불편,,,,,,,이용가능(80cm 미만),,,,,,,생활,127.0184,37.59111,201625.0492,454616.3899,슈퍼마켓 등 판매점,2,,2,2,,,,2
501,원더플레이스 대학로점,02-3673-1012,,서울시 종로구 대명길 28,,연중무휴,,장애인용화장실장애인용엘리베이터일반주차장,경사로 이용가능(기울기 5도 이하),일반 주차장만 있음,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도안쪽 열림 여닫이문대변기 전면만 접근 가능,,,,,이용가능(80cm 이상),,,,,,,생활,126.99984,37.58346,199985.8677,453767.1673,슈퍼마켓 등 판매점,1,1,1,2,,,,1
502,한미상사  삼선교,02-765-8690,,서울시 성북구 삼선교로 10,㏂09:00~㏘19:00,,삼선교에 위치한 철물점,주출입구단차없음지하철접근가능지상버스접근가능,,,이용가능(80cm 이상),이동불편,,,,,,,,,,,,,,생활,127.00691,37.58773,200610.3042,454241.1113,슈퍼마켓 등 판매점,2,2,2,4,,,,2
503,안경박사 삼선교점,02-743-9192,,서울시 성북구 삼선교로10길 4,㏂11:00~㏘21:00,,삼선교에 위치한 안경점,지하철접근가능,경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.00879,37.58774,200776.3493,454242.235,슈퍼마켓 등 판매점,2,2,2,2,,,,2
504,LG유플러스 동소문점,070-4045-9259,,서울시 성북구 보문로 204,㏂09:00~㏘20:00,,동소문동에 위치한 휴대폰 판매점,지하철접근가능지상버스접근가능,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.01357,37.59166,201198.465,454677.3611,슈퍼마켓 등 판매점,2,2,2,1,,,,2
505,보석마을,,,서울시 종로구 종로 299,㏂10:00~㏘20:00,공휴일,동대문역 부근  주출입구 턱이나 계단 없음,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 초과),,,,,,,,,생활,127.01093,37.57193,200965.5622,452487.526,슈퍼마켓 등 판매점,1,2,2,1,,,,2
506,화수분 대학로홍대점,070-8845-4163,,서울시 종로구 대학로 57 홍익대학교대학로캠퍼스,,,,장애인용화장실장애인용엘리베이터장애인용주차장주출입구단차없음,턱이나계단없음,이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도바깥 열림 여닫이문대변기 전면/측면 모두 접근 가능,,,,,이용가능(80cm 이상),,,,1,,,생활,127.00139,37.57639,200122.7861,452982.4792,슈퍼마켓 등 판매점,1,1,1,1,,,,1
507,현대자동차 대학로지점,02-745-7341,,서울시 종로구 대학로 60 동마루빌딩 3층,㏂10:00~㏘20:00,매주 일요일,대학로에 위치한 현대 백화점 영업점,일반주차장,턱이나계단없음,일반 주차장만 있음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.00258,37.57655,200227.9046,453000.2396,슈퍼마켓 등 판매점,2,2,2,1,,,,2
508,알파 대학로홍대점,02-3788-9440,,서울시 종로구 대학로 57 홍익대학교대학로캠퍼스 지하1층,,,,장애인용화장실장애인용엘리베이터장애인용주차장주출입구단차없음,턱이나계단없음,이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도바깥 열림 여닫이문대변기 전면/측면 모두 접근 가능,,,,,이용가능(80cm 이상),,,,1,,,생활,127.00139,37.57639,200122.7861,452982.4792,슈퍼마켓 등 판매점,1,1,1,1,,,,1
509,CU 장안관광호텔점,02-2249-1116,,서울시 동대문구 천호대로 377,24시간,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.06099,37.56233,205388.5821,451423.7306,슈퍼마켓 등 판매점,1,2,2,1,,,,2
510,파리바게뜨 장안점,02-2248-4871,,서울시 동대문구 장안3동 433-8호,㏂07:00~㏘24:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.06582,37.56233,205815.3218,451424.0185,슈퍼마켓 등 판매점,2,,2,3,,,,2
511,다이소 청량리점,02-962-6016,,서울시 동대문구 전농동 620-26,㏂09:00~㏘22:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.04488,37.57966,203964.3143,453346.3576,슈퍼마켓 등 판매점,2,,2,3,,,,2
512,스타벅스 청량리역점,02-758-8277,,서울시 동대문구 왕산로 40길 2,㏂08:00~㏘23:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.04484,37.57977,203960.7752,453358.5647,슈퍼마켓 등 판매점,2,,2,3,,,,2
513,파리바게뜨 청량리점,02-969-8727,,서울시 동대문구 전농동 620-28,㏂07:00~㏘22:30,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04509,37.57965,203982.8644,453345.2566,슈퍼마켓 등 판매점,2,,2,3,,,,2
514,LG유플러스 청량리점,,,서울시 동대문구 청량리동 750 1층,㏂10:00~㏘21:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04453,37.58023,203933.3683,453409.6064,슈퍼마켓 등 판매점,2,,2,3,,,,2
515,뱅뱅 청량리점,02-960-5102,,서울시 동대문구 청량리동 753번지,㏂09:00~㏘21:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.04443,37.5802,203924.5368,453406.2725,슈퍼마켓 등 판매점,1,2,2,1,,,,2
516,Tworld 청량리점,,,서울시 동대문구 왕산로 207 스타빌딩 1층,㏂10:00~㏘21:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04578,37.58086,204043.7477,453479.5822,슈퍼마켓 등 판매점,2,,2,3,,,,2
517,기아자동차 삼선교지점,02-763-5573,,서울시 성북구 창경궁로 326,㏂10:00~㏘20:00,매주 일요일,,일반주차장지하철접근가능지상버스접근가능,턱이나계단없음,일반 주차장만 있음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.00581,37.58806,200513.1479,454277.731,슈퍼마켓 등 판매점,2,2,2,1,,,,2
518,올리브영 홍대대학로점,02-744-5290,,서울시 종로구 대학로 57,㏂10:00~㏘22:00,,대학로 홍대 캠퍼스안에 있는 올리브영,장애인용화장실장애인용엘리베이터주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도바깥 열림 여닫이문대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 가능,,,,,이용가능(80cm 이상),,,,,,,생활,127.00139,37.57639,200122.7861,452982.4792,슈퍼마켓 등 판매점,1,1,1,1,,,,1
519,다이소 옥수점,02-2292-6016,,서울시 성동구 옥수동 168-1,㏂10:00~㏘22:00,연중무휴,매장은 사진 촬영이 불과.,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.01813,37.54084,201602.2798,449037.0043,슈퍼마켓 등 판매점,2,,2,3,,,,2
520,웰빙마트,02-3395-8696,,서울시 성동구 독서당로 40길 39,㏂08:30~㏘24:00,연중무휴,,장애인용엘리베이터,경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,,,,,,이용가능(80cm 이상),,,,,,,생활,127.018,37.54171,201590.7722,449133.5615,슈퍼마켓 등 판매점,1,1,2,2,,,,2
521,LG유플러스 옥수점,070-4055-2555,,서울시 성동구 옥수동 560,㏂10:00~㏘20:00,연중무휴,,,턱이나계단없음,,이용가능(80cm 이상),,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.01819,37.54231,201607.5508,449200.1575,슈퍼마켓 등 판매점,2,,2,1,,,,2
522,이니스프리 신정네거리점,02-2699-2383,,서울시 양천구 신정3동 1183-13 1층,㏂10:30~㏘22:30,명절,,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.85304,37.51905,187008.2951,446628.5773,슈퍼마켓 등 판매점,2,2,2,3,,,,2
523,코데즈컴바인 신림점,,,서울시 관악구 신림동 1640-44번지 신광빌딩 1층,㏂11:00~㏘23:00,명절,,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,생활,126.92943,37.48335,193758.4307,442658.5311,슈퍼마켓 등 판매점,1,2,2,1,,,,2
524,다이소 봉천2호점,02-3285-6015,,서울시 관악구 봉천동 926-40 자애빌딩 123층,㏂09:30~㏘22:00,명절,,일반주차장지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),일반 주차장만 있음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.94246,37.48257,194910.8173,442571.1774,슈퍼마켓 등 판매점,2,2,2,3,,,,2
525,삼성디지털프라자 봉천점,02-875-4800,,서울시 관악구 봉천동 931-5 삼성전자디지털센타 1층,㏂10:30~㏘21:00,명절,2층 삼성전자 서비스 센터 있음.,장애인용엘리베이터장애인용주차장일반주차장지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),이용가능장애인전용주차구역 크기 작음,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,1,,,생활,126.94167,37.4828,194840.9608,442596.7474,슈퍼마켓 등 판매점,2,1,2,3,,,,2
526,에센브르제과점,02-2294-6020,,서울시 성동구 무학봉길 65-2,㏂09:00~㏘23:00,연중무휴,,주출입구단차없음,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.03002,37.56092,202652.3738,451265.9124,슈퍼마켓 등 판매점,1,2,2,1,,,,2
527,올리브영 봉천역점,02-876-8817,,서울시 관악구 봉천동 926-31 호성빌딩 1층,㏂10:00~㏘23:00,명절,,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 미만),,,,,,,생활,126.94305,37.48252,194962.9971,442565.5964,슈퍼마켓 등 판매점,1,2,2,1,,,,2
528,BYC 무학점,02-2292-9162,,서울시 성동구 행당1동 298-1,㏂07:00~㏘23:00,셋째주 일요일,,주출입구단차없음,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.03236,37.56096,202859.1196,451270.4206,슈퍼마켓 등 판매점,1,2,2,1,,,,2
529,순수자연화장품 jnc,02-2299-9707,,서울시 성동구 행당2동 322-66,㏂09:00~㏘22:00,매주 일요일,,,경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.03124,37.55786,202760.278,450926.3238,슈퍼마켓 등 판매점,2,,2,2,,,,2
530,굿데이마트,02-2299-9339,,서울시 성동구 상왕십리동 12-37,㏂08:30~㏘23:00,연중무휴,,장애인용화장실장애인용엘리베이터주출입구단차없음,턱이나계단없음,,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,남녀별도대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 가능접이식문,,,,,,,,,,,,생활,127.02468,37.57046,202180.2877,452324.6033,슈퍼마켓 등 판매점,1,1,1,1,,,,1
531,Tworld  종로2가직영샵,02-6388-6300,,서울시 종로구 종로2가 23번지 1층,㏂10:00~㏘21:00,연중무휴,주출입구에 단차 없음.    매장 내부 통로로 휠체어 이동가능.    계산대(휠체어) 이용가능.,주출입구단차없음지하철접근가능지상버스접근가능,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,126.9873,37.57045,198878.0528,452323.2829,슈퍼마켓 등 판매점,1,2,2,2,,,,2
532,SK텔레콤 종로2가직영점,02-6271-5011,,서울시 종로구 종로3가 107-2번지 1층 SK텔레콤,㏂10:00~㏘21:00,명절,주출입구에 단차 없음.    매장 내부 통로로 휠체어 이동가능.    계산대(휠체어) 이용가능.,주출입구단차없음지하철접근가능지상버스접근가능,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,126.98975,37.56998,199094.4857,452271.0919,슈퍼마켓 등 판매점,1,2,2,2,,,,2
533,클락스 종로지점,02-739-7684,,서울시 종로구 종로81,㏂10:30~㏘21:00,연중무휴,주출입구에 단차 없음. 매장 내부 통로로 휠체어 이동가능. 계산대(휠체어) 이용가능.,주출입구단차없음지하철접근가능지상버스접근가능,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.98652,37.57043,198809.1455,452321.0727,슈퍼마켓 등 판매점,1,2,2,2,,,,2
534,올리브영 신림2호점,02-873-0009,,서울시 관악구 신림동 1641-21번지 1층,㏂10:00~㏘23:30,명절,,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.93015,37.48212,193822.0099,442521.9699,슈퍼마켓 등 판매점,2,2,2,3,,,,2
535,CU 원남사거리점,02-741-3955,,서울시 종로구 율곡로 174,24시간,연중무휴,주출입구에 단차 없음.    매장 내부 통로로 휠체어 이동가능.    계산대(휠체어) 이용가능.,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,126.99796,37.57563,199819.7942,452898.129,슈퍼마켓 등 판매점,1,2,2,1,,,,2
536,CU 홍대대학로캠퍼스점,02-745-1551,,서울시 종로구 대학로 57,24시간,연중무휴,주출입구에 단차 없음.    매장 내부 통로로 휠체어 이동가능.    계산대(휠체어) 이용가능.,주출입구단차없음지하철접근가능,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.00139,37.57639,200122.7861,452982.4792,슈퍼마켓 등 판매점,1,2,2,2,,,,2
